1	UNK	3	to the	other again.	other again,	All the
2	UNK	3	who produced	the Zeus	the Zeus,	of Polyclitus
3	hyphen	3	Hera, of	the muchlauded	the much-lauded	Myron, of
4	hyphen	4	and illiberally	paid, meanspirited,	paid, mean-spirited,	of no
5	UNK	4	your real	qualities, you”	qualities, you	will always
6	UNK	4	of the	soul. Nought	soul. Naught	shall escape
7	UNK	4	word, I	will instil	will instill	into you,
8	UNK	5	if you	leave yeur,	leave your	native land,
9	UNK	5	immortal; and	I Will	I will	make it
10	UNK	5	life yourself,	you shall;	you shall	keep touch
11	UNK	5	and office,	all landed	all lauded	eloquence and
12	UNK	6	would have	cost you.”	cost you.'	We mounted,
13	UNK	8	the models	to life.”	to life.'	So says
14	UNK	9	fluteplayer for	a successfal	a successful	after-dinner performance.

15	hyphen	9	is harmonious	and wellproportioned;	and well-proportioned;	it is
16	UNK	10	to unite	and harmonize	and harmonize-reluctant and	<choice><sic>— reluctant</sic><corr>—
17	UNK	14	you say.	And yet...	And yet. .	Tell me,
18	UNK	15	as memory	will supply”	will supply.'	Am I
19	space	16	all the	room, some one	room, someone	would whisper,
20	UNK	19	their purple	and theis	and their	rings always
21	UNK	19	and happy	and tnviable	and enviable	is he
22	UNK	19	may do	so muchrlp	so much!	And there
23	UNK	19	the illusion	as leng	as long	as may
24	UNK	19	if these	men a¥e	men are	<choice><sic>amusing their</sic><corr>amusing,
25	UNK	19	the compliments	of “Dog,”	of "Dog,"	<choice><sic>“Toadeater,” and</sic><corr>"Toadeater,"
26	UNK	21	the city,	on whfch	on which	for many
27	hyphen	21	must be	no shillyshallying,	no shilly-shallying,	when virtue
28	UNK	22	price for	an entrée;	an entree;	whose floors
29	UNK	23	is none	the betteg	the better	for the
30	hyphen	26	am subjected.	This evergrowing	This ever-growing	aggression will
31	UNK	29	μέλισσαι he	has lured:	has lured	to strange
32	UNK	30	is possible,	what Penalty	what penalty	adequate, for
33	UNK	30	describe it	as caddy,	as &#0954;&#0945;&#0955;&#8057;&#0957;,	but in
34	UNK	30	man to	say raAdy:	say &#0964;&#0945;&#0955;&#8057;&#0957;:	he must
35	UNK	31	are in	difficulties with”	difficulties with	their scansion;
36	hyphen	31	heat against	so cooltempered	so cool-tempered	a Zeus.
37	UNK	32	packing up	the swag.:	the swag.	But there
38	UNK	34	perfectly clean,	sucked oyt	sucked out	with great
39	UNK	34	altars; the	savour of,	savour of	<choice><sic>them isyet</sic><corr>them
40	UNK	34	busy, there	is such"	is such	a din
41	UNK	34	Incorporeal Things,	or something™	or something	they call
42	UNK	35	bolt glanced	off 6n	off on	to the
43	UNK	35	was itself	nearly pylverized	nearly pulverized	on the
44	UNK	35	Nothing like	lifting wp	lifting up	your voice,
45	UNK	36	you were	stifled in-deep	stifled in deep	darkness. We
46	hyphen	36	in a	bronze or-	bronze or	iron chamber,
47	UNK	36	but to	prevent others	prevent others'	enjoying you
48	h->b	36	carouse! little	enough be	enough he	troubles his
49	UNK	36	consider the	thing candidly;	thing candidly,	you will
50	hyphen	38	and thirsty	and drymouthed	and dry-mouthed	as Tantalus,
51	UNK	39	in very	genuine mourning	genuine mourning-over	— over
52	UNK	40	not enrich	deserving pevsais	deserving persons	according to
53	UNK	40	to come	upon me	upon the	latter in
54	UNK	40	which brings	me quickass	me quickness	of eye
55	hyphen	41	have scaled	some skypointing	some sky-pointing	crag, and
56	UNK	41	by such	an vely	an ugly	<choice><sic>misshapen creature.</sic><corr>misshapen
57	space	41	time that	the beautyis	the beauty is	adventitious, now
58	space	43	What has	Plutus todo	Plutus to do	with Timon
59	space	43	had a	good helpmeet	good help meet	in me,
60	hyphen	44	cease overdoing	the illtempered	the ill-tempered	boor, hold
61	space	44	excellent Poverty	gave mea	gave me a	drilling in
62	UNK	44	know my	true “wealth,	true wealth,	unassailable by
63	hyphen	45	are not	all hangingripe.	all hanging-ripe.	Don’t make
64	hyphen	45	you with	a smockfrock	a smock-frock	to replace
65	UNK	46	up from	his retreat....	his retreat. .	O God
66	space	46	am dead,	to liein.	to lie in.	And be
67	UNK	47	hang themselves	over it....	over it. .	<choice><sic>Why, whatis</sic><corr>Why,
68	UNK	48	of my	wine has'	wine has	he made
69	UNK	48	me find	a witness!...	a witness! .	Oh, my
70	UNK	48	let  God,	my God!...	my God! .	I'll have
71	UNK	48	<p><label>Gnathonides</label> Mercy,	mercy! ..-	mercy! . .	Now, a
72	UNK	48	creatures! yes,	yes, mow	yes, now	you know

73	UNK	49	pray let	me -varn	me warn	you against
74	UNK	49	in your	honour. Whereas	honour. 'WHEREAS	Timon son
75	UNK	50	individually and	collectively THaT	collectively THAT	a golden
76	UNK	50	is that	for? ...	for? . .	You are
77	UNK	51	not be	able to”	able to	give a
78	UNK	51	turn his	morning maxims	morning maxima	inside out;
79	space	52	greed brings	him —;	him — ;	when the
80	period	52	than your	gay robes,	gay robes.	Gold —
81	UNK	54	the women	especially. And,	especially. And	to crown
82	UNK	54	you protest	that .ou	that you	have done
83	UNK	55	You begin	then, Hermes,	then, Hermes.	Exert all
84	space	55	<p><label>Hephaestus</label> The	jury! Nota	jury! Not a	bit of
85	UNK	56	little thing	like that?.	like that?	What if
86	UNK	56	and what	is left?.	is left?	Muzziness; repletion;
87	UNK	57	injured; my	little manceuvre	little man&#339;uvre	with the
88	UNK	57	of the	aggrieved party?.	aggrieved party?	How would
89	period	57	rap on	the head,	the head.	I find
90	period	57	say on	both points,	both points.	I shall
91	UNK	57	the race	of heayen-born	of heaven-born	Gods stood
92	space	58	rude vegetation.	The Godshad	The Gods had	no altars
93	UNK	58	offence against	the Gods..	the Gods.	Destructive work,
94	hyphen	58	loss of	prestige -from	prestige from	the creation
95	UNK	58	contrary, and	I will-say	I will say	no more;
96	UNK	58	I have	conferred, use:	conferred, use	the evidence
